round,global_acc,ASR
1,0.1091,0.0
2,0.1145,0.0026666666666666666
3,0.1335,0.057
4,0.1499,0.086
5,0.1734,0.12544444444444444
6,0.1472,0.6367777777777778
7,0.1841,0.08
8,0.2034,0.3253333333333333
9,0.2033,0.43144444444444446
10,0.1788,0.6695555555555556
11,0.2207,0.35188888888888886
12,0.2369,0.33111111111111113
13,0.2446,0.45544444444444443
14,0.2175,0.575
15,0.2141,0.6292222222222222
16,0.2248,0.5676666666666667
17,0.2097,0.6596666666666666
18,0.2195,0.6176666666666667
19,0.2236,0.6192222222222222
20,0.2175,0.6144444444444445
