round,global_acc,ASR
1,0.02127659574468085,0.9985326086956522
2,0.02127659574468085,1.0
3,0.02127659574468085,0.9999456521739131
4,0.02127659574468085,0.9998913043478261
5,0.021648936170212765,0.9982608695652174
6,0.025053191489361703,0.9898369565217391
7,0.03398936170212766,0.9702717391304347
8,0.04797872340425532,0.9405978260869565
9,0.06473404255319148,0.907445652173913
10,0.1046808510638298,0.8255434782608696
11,0.13351063829787235,0.7766304347826087
12,0.18382978723404256,0.6923913043478261
13,0.24345744680851064,0.5923369565217391
14,0.26574468085106384,0.5771195652173913
15,0.3042021276595745,0.5180434782608696
16,0.3390957446808511,0.47043478260869565
17,0.3554255319148936,0.45592391304347823
18,0.3848936170212766,0.4230434782608696
19,0.40872340425531917,0.39793478260869564
20,0.43106382978723407,0.36135869565217393
