round,global_acc,ASR
1,0.1001,0.9997777777777778
2,0.1002,0.9988888888888889
3,0.1002,0.999
4,0.1001,0.9922222222222222
5,0.1035,0.9562222222222222
6,0.1307,0.8461111111111111
7,0.1382,0.7907777777777778
8,0.165,0.6247777777777778
9,0.1469,0.7754444444444445
10,0.1589,0.731
11,0.1701,0.703
12,0.1845,0.648
13,0.1738,0.7542222222222222
14,0.1838,0.7022222222222222
15,0.1998,0.6766666666666666
16,0.205,0.652
17,0.2091,0.6695555555555556
18,0.2265,0.6492222222222223
19,0.202,0.6953333333333334
20,0.2252,0.6388888888888888
