round,global_acc,ASR
1,0.1072,0.29577777777777775
2,0.1276,0.5311111111111111
3,0.1051,0.9468888888888889
4,0.1302,0.7815555555555556
5,0.1011,0.9954444444444445
6,0.1029,0.9673333333333334
7,0.1061,0.9722222222222222
8,0.1332,0.8426666666666667
9,0.124,0.8828888888888888
10,0.104,0.9763333333333334
11,0.1182,0.9396666666666667
12,0.1629,0.7916666666666666
13,0.1416,0.8804444444444445
14,0.1073,0.9803333333333333
15,0.1662,0.7908888888888889
16,0.1906,0.691
17,0.1947,0.6707777777777778
18,0.1605,0.8093333333333333
19,0.179,0.7415555555555555
20,0.1554,0.8403333333333334
