round,global_acc,ASR
1,0.1056,0.043111111111111114
2,0.1148,0.3397777777777778
3,0.1029,0.9465555555555556
4,0.1028,0.9606666666666667
5,0.1077,0.9307777777777778
6,0.1017,0.9938888888888889
7,0.1201,0.9258888888888889
8,0.11,0.9815555555555555
9,0.1245,0.9458888888888889
10,0.1622,0.7606666666666667
11,0.1287,0.9397777777777778
12,0.1826,0.7096666666666667
13,0.1481,0.8917777777777778
14,0.1394,0.9141111111111111
15,0.1593,0.8554444444444445
16,0.1605,0.8653333333333333
17,0.172,0.817
18,0.166,0.843
19,0.2203,0.6784444444444444
20,0.1604,0.8573333333333333
