round,global_acc,ASR
1,0.026436170212765956,0.05505434782608696
2,0.02127659574468085,0.9983152173913044
3,0.021329787234042552,0.99875
4,0.02154255319148936,0.9946739130434783
5,0.02271276595744681,0.9866847826086956
6,0.025851063829787232,0.9776086956521739
7,0.03521276595744681,0.9525
8,0.05117021276595745,0.9220652173913043
9,0.07345744680851064,0.877445652173913
10,0.09351063829787234,0.8458152173913044
11,0.12813829787234043,0.7817391304347826
12,0.16138297872340426,0.7296739130434783
13,0.19281914893617022,0.6894021739130435
14,0.23840425531914894,0.6202717391304348
15,0.27617021276595743,0.5647826086956522
16,0.30888297872340426,0.5164673913043478
17,0.33664893617021274,0.48445652173913045
18,0.3702659574468085,0.4418478260869565
19,0.3881914893617021,0.41934782608695653
20,0.41585106382978726,0.3768478260869565
