round,global_acc,ASR
1,0.0225,0.9790217391304348
2,0.02127659574468085,1.0
3,0.02127659574468085,1.0
4,0.021329787234042552,0.9997826086956522
5,0.022234042553191488,0.9964130434782609
6,0.027925531914893616,0.9832608695652174
7,0.04781914893617021,0.9464130434782608
8,0.06872340425531914,0.914945652173913
9,0.10085106382978723,0.8595652173913043
10,0.14574468085106382,0.7879347826086956
11,0.19425531914893618,0.7067934782608696
12,0.23537234042553193,0.642554347826087
13,0.2752659574468085,0.5846739130434783
14,0.3051595744680851,0.5413586956521739
15,0.3428191489361702,0.4835326086956522
16,0.36404255319148937,0.4573913043478261
17,0.4002659574468085,0.39510869565217394
18,0.40547872340425534,0.3988586956521739
19,0.4252659574468085,0.3720652173913043
20,0.43361702127659574,0.37179347826086956
