round,global_acc,ASR
1,0.02127659574468085,0.9988586956521739
2,0.02127659574468085,0.9999456521739131
3,0.02127659574468085,0.9991304347826087
4,0.02276595744680851,0.9922282608695652
5,0.0275531914893617,0.9768478260869565
6,0.043191489361702126,0.9383695652173913
7,0.06670212765957446,0.8866847826086957
8,0.10558510638297873,0.8096739130434782
9,0.1448936170212766,0.7408695652173913
10,0.17372340425531915,0.696195652173913
11,0.21617021276595744,0.622445652173913
12,0.2570212765957447,0.5611956521739131
13,0.27787234042553194,0.5373369565217392
14,0.31313829787234043,0.4834782608695652
15,0.344468085106383,0.44581521739130436
16,0.3683510638297872,0.41983695652173914
17,0.38861702127659575,0.3961413043478261
18,0.41712765957446807,0.3577173913043478
19,0.4196808510638298,0.37326086956521737
20,0.45085106382978724,0.32858695652173914
