round,global_acc,ASR
1,0.021170212765957448,0.9965760869565218
2,0.02127659574468085,1.0
3,0.02127659574468085,1.0
4,0.02127659574468085,1.0
5,0.02127659574468085,1.0
6,0.02175531914893617,0.9984782608695653
7,0.02851063829787234,0.9858152173913044
8,0.047446808510638296,0.9530978260869565
9,0.08579787234042553,0.88875
10,0.13361702127659575,0.8127717391304348
11,0.1800531914893617,0.7429891304347827
12,0.2322872340425532,0.6560326086956522
13,0.2870744680851064,0.5727717391304348
14,0.33101063829787236,0.5075
15,0.37159574468085105,0.4464673913043478
16,0.40164893617021274,0.4016304347826087
17,0.42840425531914894,0.3730434782608696
18,0.4468617021276596,0.35630434782608694
19,0.46872340425531916,0.3288586956521739
20,0.4767021276595745,0.32467391304347826
