round,global_acc,ASR
1,0.021382978723404257,0.934945652173913
2,0.02127659574468085,1.0
3,0.02127659574468085,1.0
4,0.022021276595744682,0.998641304347826
5,0.027074468085106385,0.9888586956521739
6,0.04223404255319149,0.9515217391304348
7,0.06202127659574468,0.9101086956521739
8,0.08553191489361703,0.8614673913043478
9,0.11920212765957447,0.8053260869565217
10,0.17414893617021276,0.716304347826087
11,0.21074468085106382,0.6611956521739131
12,0.24569148936170213,0.6171195652173913
13,0.2949468085106383,0.5422826086956521
14,0.32063829787234044,0.5158152173913043
15,0.35590425531914893,0.46853260869565216
16,0.38122340425531914,0.43483695652173915
17,0.40638297872340423,0.4008152173913043
18,0.4296808510638298,0.3689673913043478
19,0.4479787234042553,0.35048913043478264
20,0.46585106382978725,0.3346195652173913
