round,global_acc,ASR
1,0.1135,1.0
2,0.1135,1.0
3,0.1135,1.0
4,0.1135,1.0
5,0.114,0.9994359842075579
6,0.1175,0.9954878736604625
7,0.1477,0.9605188945290468
8,0.1798,0.9231810490693739
9,0.2618,0.8272983643542019
10,0.3108,0.7669486745628877
11,0.4252,0.622673434856176
12,0.5211,0.4865200225606317
13,0.6207,0.3632261703327693
14,0.5162,0.5179921037789058
15,0.6151,0.37552171460800904
16,0.6674,0.2899041173152848
17,0.6877,0.2662154540327129
18,0.6682,0.30073322053017487
19,0.7177,0.24354201917653695
20,0.7502,0.19751833051325438
