round,global_acc,ASR
1,0.1032,0.0
2,0.1472,0.09464184997179921
3,0.1943,0.33705583756345175
4,0.2044,0.6400451212633954
5,0.1576,0.868020304568528
6,0.2302,0.8265087422447829
7,0.2507,0.8186125211505922
8,0.279,0.7756345177664975
9,0.3187,0.7287084038353074
10,0.4144,0.5790186125211506
11,0.5106,0.47523970671178795
12,0.5807,0.35916525662718557
13,0.5633,0.4121827411167513
14,0.5436,0.39921037789058095
15,0.6489,0.29780033840947545
16,0.6677,0.29261139311900736
17,0.6911,0.25662718556119574
18,0.6906,0.272419627749577
19,0.7321,0.2003384094754653
20,0.7121,0.23733784545967287
