round,global_acc,ASR
1,0.0963,0.6859560067681895
2,0.181,0.8045121263395375
3,0.242,0.6846023688663283
4,0.2066,0.8359842075578117
5,0.2136,0.8506486181613085
6,0.2819,0.7307388606880992
7,0.3038,0.7547659334461365
8,0.3947,0.591990975747321
9,0.4106,0.6289904117315285
10,0.4837,0.5011844331641286
11,0.4915,0.4808798646362098
12,0.541,0.42007896221094193
13,0.6152,0.30062041737168643
14,0.6913,0.24782853919909759
15,0.6378,0.3317540891144952
16,0.7152,0.23429216018048504
17,0.7451,0.20846023688663282
18,0.7326,0.2257191201353638
19,0.7192,0.24196277495769883
20,0.775,0.1733784545967287
