round,global_acc,ASR
1,0.1328,0.00022560631697687535
2,0.1819,0.34901297236322615
3,0.1774,0.7925549915397632
4,0.1408,0.9634517766497462
5,0.1868,0.892272983643542
6,0.2009,0.8918217710095883
7,0.2131,0.8761421319796955
8,0.2764,0.7954878736604625
9,0.2783,0.7944726452340666
10,0.3753,0.657980823463057
11,0.3221,0.740214326001128
12,0.3853,0.6491821771009588
13,0.4761,0.5068245910885505
14,0.5437,0.4408347433728144
15,0.5333,0.446136491821771
16,0.5413,0.4653130287648054
17,0.6703,0.28527918781725886
18,0.6052,0.37642413987591655
19,0.6781,0.2859560067681895
20,0.7058,0.23778905809362663
