round,global_acc,ASR
1,0.1076,0.2628313592780598
2,0.1256,0.33852227862380146
3,0.1148,0.9756345177664975
4,0.1144,0.9967287084038353
5,0.1188,0.9933446136491821
6,0.1288,0.9800338409475465
7,0.1472,0.9545403271291596
8,0.2295,0.8536943034404963
9,0.297,0.7588268471517202
10,0.2904,0.7699943598420755
11,0.3962,0.6150028200789622
12,0.4197,0.6083474337281444
13,0.4984,0.49858996051889454
14,0.5497,0.43395375070501974
15,0.6101,0.3496897913141568
16,0.5753,0.4196277495769882
17,0.5808,0.4101522842639594
18,0.7022,0.24794134235758603
19,0.6752,0.29588268471517204
20,0.7106,0.24230118443316412
